轮次,合同设计,发布者效用
728,"[48, 46, 42, 38, 37, 37.685, 36.513, 34.001, 31.273, 30.525]",425.647
729,"[49, 46, 42, 38, 37, 38.271, 36.513, 34.001, 31.273, 30.525]",425.628
730,"[47, 47, 42, 38, 37, 37.141, 37.141, 34.001, 31.273, 30.525]",425.639
731,"[48, 47, 42, 38, 37, 37.727, 37.141, 34.001, 31.273, 30.525]",425.63
732,"[49, 47, 42, 38, 37, 38.313, 37.141, 34.001, 31.273, 30.525]",425.611
733,"[48, 48, 42, 38, 37, 37.769, 37.769, 34.001, 31.273, 30.525]",425.603
734,"[49, 48, 42, 38, 37, 38.355, 37.769, 34.001, 31.273, 30.525]",425.585
735,"[49, 49, 42, 38, 37, 38.397, 38.397, 34.001, 31.273, 30.525]",425.549
736,"[43, 43, 43, 38, 37, 34.683, 34.683, 34.683, 31.273, 30.525]",425.581
737,"[44, 43, 43, 38, 37, 35.269, 34.683, 34.683, 31.273, 30.525]",425.615
738,"[45, 43, 43, 38, 37, 35.855, 34.683, 34.683, 31.273, 30.525]",425.637
739,"[46, 43, 43, 38, 37, 36.441, 34.683, 34.683, 31.273, 30.525]",425.647
740,"[47, 43, 43, 38, 37, 37.027, 34.683, 34.683, 31.273, 30.525]",425.647
741,"[48, 43, 43, 38, 37, 37.613, 34.683, 34.683, 31.273, 30.525]",425.637
742,"[49, 43, 43, 38, 37, 38.199, 34.683, 34.683, 31.273, 30.525]",425.619
743,"[44, 44, 43, 38, 37, 35.311, 35.311, 34.683, 31.273, 30.525]",425.632
744,"[45, 44, 43, 38, 37, 35.897, 35.311, 34.683, 31.273, 30.525]",425.654
745,"[46, 44, 43, 38, 37, 36.483, 35.311, 34.683, 31.273, 30.525]",425.665
746,"[47, 44, 43, 38, 37, 37.069, 35.311, 34.683, 31.273, 30.525]",425.665
747,"[48, 44, 43, 38, 37, 37.655, 35.311, 34.683, 31.273, 30.525]",425.655
748,"[49, 44, 43, 38, 37, 38.241, 35.311, 34.683, 31.273, 30.525]",425.636
749,"[45, 45, 43, 38, 37, 35.939, 35.939, 34.683, 31.273, 30.525]",425.659
750,"[46, 45, 43, 38, 37, 36.525, 35.939, 34.683, 31.273, 30.525]",425.67
751,"[47, 45, 43, 38, 37, 37.111, 35.939, 34.683, 31.273, 30.525]",425.67
752,"[48, 45, 43, 38, 37, 37.697, 35.939, 34.683, 31.273, 30.525]",425.66
753,"[49, 45, 43, 38, 37, 38.283, 35.939, 34.683, 31.273, 30.525]",425.642
754,"[46, 46, 43, 38, 37, 36.567, 36.567, 34.683, 31.273, 30.525]",425.663
755,"[47, 46, 43, 38, 37, 37.153, 36.567, 34.683, 31.273, 30.525]",425.663
756,"[48, 46, 43, 38, 37, 37.739, 36.567, 34.683, 31.273, 30.525]",425.654
757,"[49, 46, 43, 38, 37, 38.325, 36.567, 34.683, 31.273, 30.525]",425.635
758,"[47, 47, 43, 38, 37, 37.195, 37.195, 34.683, 31.273, 30.525]",425.647
759,"[48, 47, 43, 38, 37, 37.781, 37.195, 34.683, 31.273, 30.525]",425.637
760,"[49, 47, 43, 38, 37, 38.367, 37.195, 34.683, 31.273, 30.525]",425.618
761,"[48, 48, 43, 38, 37, 37.823, 37.823, 34.683, 31.273, 30.525]",425.61
762,"[49, 48, 43, 38, 37, 38.409, 37.823, 34.683, 31.273, 30.525]",425.592
763,"[49, 49, 43, 38, 37, 38.451, 38.451, 34.683, 31.273, 30.525]",425.556
764,"[44, 44, 44, 38, 37, 35.365, 35.365, 35.365, 31.273, 30.525]",425.626
765,"[45, 44, 44, 38, 37, 35.951, 35.365, 35.365, 31.273, 30.525]",425.648
766,"[46, 44, 44, 38, 37, 36.537, 35.365, 35.365, 31.273, 30.525]",425.658
767,"[47, 44, 44, 38, 37, 37.123, 35.365, 35.365, 31.273, 30.525]",425.658
768,"[48, 44, 44, 38, 37, 37.709, 35.365, 35.365, 31.273, 30.525]",425.649
769,"[49, 44, 44, 38, 37, 38.295, 35.365, 35.365, 31.273, 30.525]",425.63
770,"[45, 45, 44, 38, 37, 35.993, 35.993, 35.365, 31.273, 30.525]",425.653
771,"[46, 45, 44, 38, 37, 36.579, 35.993, 35.365, 31.273, 30.525]",425.663
772,"[47, 45, 44, 38, 37, 37.165, 35.993, 35.365, 31.273, 30.525]",425.663
773,"[48, 45, 44, 38, 37, 37.751, 35.993, 35.365, 31.273, 30.525]",425.654
774,"[49, 45, 44, 38, 37, 38.337, 35.993, 35.365, 31.273, 30.525]",425.635
775,"[46, 46, 44, 38, 37, 36.621, 36.621, 35.365, 31.273, 30.525]",425.657
776,"[47, 46, 44, 38, 37, 37.207, 36.621, 35.365, 31.273, 30.525]",425.657
777,"[48, 46, 44, 38, 37, 37.793, 36.621, 35.365, 31.273, 30.525]",425.647
778,"[49, 46, 44, 38, 37, 38.379, 36.621, 35.365, 31.273, 30.525]",425.629
779,"[47, 47, 44, 38, 37, 37.249, 37.249, 35.365, 31.273, 30.525]",425.64
780,"[48, 47, 44, 38, 37, 37.835, 37.249, 35.365, 31.273, 30.525]",425.63
781,"[49, 47, 44, 38, 37, 38.421, 37.249, 35.365, 31.273, 30.525]",425.612
782,"[48, 48, 44, 38, 37, 37.877, 37.877, 35.365, 31.273, 30.525]",425.604
783,"[49, 48, 44, 38, 37, 38.463, 37.877, 35.365, 31.273, 30.525]",425.585
784,"[49, 49, 44, 38, 37, 38.505, 38.505, 35.365, 31.273, 30.525]",425.55
785,"[45, 45, 45, 38, 37, 36.047, 36.047, 36.047, 31.273, 30.525]",425.634
786,"[46, 45, 45, 38, 37, 36.633, 36.047, 36.047, 31.273, 30.525]",425.644
787,"[47, 45, 45, 38, 37, 37.219, 36.047, 36.047, 31.273, 30.525]",425.644
788,"[48, 45, 45, 38, 37, 37.805, 36.047, 36.047, 31.273, 30.525]",425.635
789,"[49, 45, 45, 38, 37, 38.391, 36.047, 36.047, 31.273, 30.525]",425.616
790,"[46, 46, 45, 38, 37, 36.675, 36.675, 36.047, 31.273, 30.525]",425.638
791,"[47, 46, 45, 38, 37, 37.261, 36.675, 36.047, 31.273, 30.525]",425.638
792,"[48, 46, 45, 38, 37, 37.847, 36.675, 36.047, 31.273, 30.525]",425.628
793,"[49, 46, 45, 38, 37, 38.433, 36.675, 36.047, 31.273, 30.525]",425.61
794,"[47, 47, 45, 38, 37, 37.303, 37.303, 36.047, 31.273, 30.525]",425.621
795,"[48, 47, 45, 38, 37, 37.889, 37.303, 36.047, 31.273, 30.525]",425.611
796,"[49, 47, 45, 38, 37, 38.475, 37.303, 36.047, 31.273, 30.525]",425.593
797,"[48, 48, 45, 38, 37, 37.931, 37.931, 36.047, 31.273, 30.525]",425.585
798,"[49, 48, 45, 38, 37, 38.517, 37.931, 36.047, 31.273, 30.525]",425.566
799,"[49, 49, 45, 38, 37, 38.559, 38.559, 36.047, 31.273, 30.525]",425.531
800,"[46, 46, 46, 38, 37, 36.729, 36.729, 36.729, 31.273, 30.525]",425.608
801,"[47, 46, 46, 38, 37, 37.315, 36.729, 36.729, 31.273, 30.525]",425.608
802,"[48, 46, 46, 38, 37, 37.901, 36.729, 36.729, 31.273, 30.525]",425.598
803,"[49, 46, 46, 38, 37, 38.487, 36.729, 36.729, 31.273, 30.525]",425.579
804,"[47, 47, 46, 38, 37, 37.357, 37.357, 36.729, 31.273, 30.525]",425.591
805,"[48, 47, 46, 38, 37, 37.943, 37.357, 36.729, 31.273, 30.525]",425.581
806,"[49, 47, 46, 38, 37, 38.529, 37.357, 36.729, 31.273, 30.525]",425.562
807,"[48, 48, 46, 38, 37, 37.985, 37.985, 36.729, 31.273, 30.525]",425.555
808,"[49, 48, 46, 38, 37, 38.571, 37.985, 36.729, 31.273, 30.525]",425.536
809,"[49, 49, 46, 38, 37, 38.613, 38.613, 36.729, 31.273, 30.525]",425.501
810,"[47, 47, 47, 38, 37, 37.411, 37.411, 37.411, 31.273, 30.525]",425.55
811,"[48, 47, 47, 38, 37, 37.997, 37.411, 37.411, 31.273, 30.525]",425.54
812,"[49, 47, 47, 38, 37, 38.583, 37.411, 37.411, 31.273, 30.525]",425.522
813,"[48, 48, 47, 38, 37, 38.039, 38.039, 37.411, 31.273, 30.525]",425.514
814,"[49, 48, 47, 38, 37, 38.625, 38.039, 37.411, 31.273, 30.525]",425.495
815,"[49, 49, 47, 38, 37, 38.667, 38.667, 37.411, 31.273, 30.525]",425.46
816,"[48, 48, 48, 38, 37, 38.093, 38.093, 38.093, 31.273, 30.525]",425.463
817,"[49, 48, 48, 38, 37, 38.679, 38.093, 38.093, 31.273, 30.525]",425.445
818,"[49, 49, 48, 38, 37, 38.721, 38.721, 38.093, 31.273, 30.525]",425.409
819,"[49, 49, 49, 38, 37, 38.775, 38.775, 38.775, 31.273, 30.525]",425.35
820,"[39, 39, 39, 39, 37, 32.021, 32.021, 32.021, 32.021, 30.525]",424.996
821,"[40, 39, 39, 39, 37, 32.607, 32.021, 32.021, 32.021, 30.525]",425.093
822,"[41, 39, 39, 39, 37, 33.193, 32.021, 32.021, 32.021, 30.525]",425.172
823,"[42, 39, 39, 39, 37, 33.779, 32.021, 32.021, 32.021, 30.525]",425.234
824,"[43, 39, 39, 39, 37, 34.365, 32.021, 32.021, 32.021, 30.525]",425.282
825,"[44, 39, 39, 39, 37, 34.951, 32.021, 32.021, 32.021, 30.525]",425.317
826,"[45, 39, 39, 39, 37, 35.537, 32.021, 32.021, 32.021, 30.525]",425.338
827,"[46, 39, 39, 39, 37, 36.123, 32.021, 32.021, 32.021, 30.525]",425.349
828,"[47, 39, 39, 39, 37, 36.709, 32.021, 32.021, 32.021, 30.525]",425.349
829,"[48, 39, 39, 39, 37, 37.295, 32.021, 32.021, 32.021, 30.525]",425.339
830,"[49, 39, 39, 39, 37, 37.881, 32.021, 32.021, 32.021, 30.525]",425.321
831,"[40, 40, 39, 39, 37, 32.649, 32.649, 32.021, 32.021, 30.525]",425.172
832,"[41, 40, 39, 39, 37, 33.235, 32.649, 32.021, 32.021, 30.525]",425.251
833,"[42, 40, 39, 39, 37, 33.821, 32.649, 32.021, 32.021, 30.525]",425.314
834,"[43, 40, 39, 39, 37, 34.407, 32.649, 32.021, 32.021, 30.525]",425.362
835,"[44, 40, 39, 39, 37, 34.993, 32.649, 32.021, 32.021, 30.525]",425.396
836,"[45, 40, 39, 39, 37, 35.579, 32.649, 32.021, 32.021, 30.525]",425.418
837,"[46, 40, 39, 39, 37, 36.165, 32.649, 32.021, 32.021, 30.525]",425.429
838,"[47, 40, 39, 39, 37, 36.751, 32.649, 32.021, 32.021, 30.525]",425.429
839,"[48, 40, 39, 39, 37, 37.337, 32.649, 32.021, 32.021, 30.525]",425.419
840,"[49, 40, 39, 39, 37, 37.923, 32.649, 32.021, 32.021, 30.525]",425.4
841,"[41, 41, 39, 39, 37, 33.277, 33.277, 32.021, 32.021, 30.525]",425.314
842,"[42, 41, 39, 39, 37, 33.863, 33.277, 32.021, 32.021, 30.525]",425.376
843,"[43, 41, 39, 39, 37, 34.449, 33.277, 32.021, 32.021, 30.525]",425.424
844,"[44, 41, 39, 39, 37, 35.035, 33.277, 32.021, 32.021, 30.525]",425.459
845,"[45, 41, 39, 39, 37, 35.621, 33.277, 32.021, 32.021, 30.525]",425.481
846,"[46, 41, 39, 39, 37, 36.207, 33.277, 32.021, 32.021, 30.525]",425.491
847,"[47, 41, 39, 39, 37, 36.793, 33.277, 32.021, 32.021, 30.525]",425.491
848,"[48, 41, 39, 39, 37, 37.379, 33.277, 32.021, 32.021, 30.525]",425.481
849,"[49, 41, 39, 39, 37, 37.965, 33.277, 32.021, 32.021, 30.525]",425.463
850,"[42, 42, 39, 39, 37, 33.905, 33.905, 32.021, 32.021, 30.525]",425.422
851,"[43, 42, 39, 39, 37, 34.491, 33.905, 32.021, 32.021, 30.525]",425.47
852,"[44, 42, 39, 39, 37, 35.077, 33.905, 32.021, 32.021, 30.525]",425.505
853,"[45, 42, 39, 39, 37, 35.663, 33.905, 32.021, 32.021, 30.525]",425.526
854,"[46, 42, 39, 39, 37, 36.249, 33.905, 32.021, 32.021, 30.525]",425.537
855,"[47, 42, 39, 39, 37, 36.835, 33.905, 32.021, 32.021, 30.525]",425.537
856,"[48, 42, 39, 39, 37, 37.421, 33.905, 32.021, 32.021, 30.525]",425.527
857,"[49, 42, 39, 39, 37, 38.007, 33.905, 32.021, 32.021, 30.525]",425.509
858,"[43, 43, 39, 39, 37, 34.533, 34.533, 32.021, 32.021, 30.525]",425.501
859,"[44, 43, 39, 39, 37, 35.119, 34.533, 32.021, 32.021, 30.525]",425.536
860,"[45, 43, 39, 39, 37, 35.705, 34.533, 32.021, 32.021, 30.525]",425.558
861,"[46, 43, 39, 39, 37, 36.291, 34.533, 32.021, 32.021, 30.525]",425.568
862,"[47, 43, 39, 39, 37, 36.877, 34.533, 32.021, 32.021, 30.525]",425.568
863,"[48, 43, 39, 39, 37, 37.463, 34.533, 32.021, 32.021, 30.525]",425.558
864,"[49, 43, 39, 39, 37, 38.049, 34.533, 32.021, 32.021, 30.525]",425.54
865,"[44, 44, 39, 39, 37, 35.161, 35.161, 32.021, 32.021, 30.525]",425.553
866,"[45, 44, 39, 39, 37, 35.747, 35.161, 32.021, 32.021, 30.525]",425.575
867,"[46, 44, 39, 39, 37, 36.333, 35.161, 32.021, 32.021, 30.525]",425.586
868,"[47, 44, 39, 39, 37, 36.919, 35.161, 32.021, 32.021, 30.525]",425.586
869,"[48, 44, 39, 39, 37, 37.505, 35.161, 32.021, 32.021, 30.525]",425.576
870,"[49, 44, 39, 39, 37, 38.091, 35.161, 32.021, 32.021, 30.525]",425.557
871,"[45, 45, 39, 39, 37, 35.789, 35.789, 32.021, 32.021, 30.525]",425.58
872,"[46, 45, 39, 39, 37, 36.375, 35.789, 32.021, 32.021, 30.525]",425.591
873,"[47, 45, 39, 39, 37, 36.961, 35.789, 32.021, 32.021, 30.525]",425.591
874,"[48, 45, 39, 39, 37, 37.547, 35.789, 32.021, 32.021, 30.525]",425.581
875,"[49, 45, 39, 39, 37, 38.133, 35.789, 32.021, 32.021, 30.525]",425.562
876,"[46, 46, 39, 39, 37, 36.417, 36.417, 32.021, 32.021, 30.525]",425.584
877,"[47, 46, 39, 39, 37, 37.003, 36.417, 32.021, 32.021, 30.525]",425.584
878,"[48, 46, 39, 39, 37, 37.589, 36.417, 32.021, 32.021, 30.525]",425.574
879,"[49, 46, 39, 39, 37, 38.175, 36.417, 32.021, 32.021, 30.525]",425.556
880,"[47, 47, 39, 39, 37, 37.045, 37.045, 32.021, 32.021, 30.525]",425.567
881,"[48, 47, 39, 39, 37, 37.631, 37.045, 32.021, 32.021, 30.525]",425.558
882,"[49, 47, 39, 39, 37, 38.217, 37.045, 32.021, 32.021, 30.525]",425.539
883,"[48, 48, 39, 39, 37, 37.673, 37.673, 32.021, 32.021, 30.525]",425.531
884,"[49, 48, 39, 39, 37, 38.259, 37.673, 32.021, 32.021, 30.525]",425.513
885,"[49, 49, 39, 39, 37, 38.301, 38.301, 32.021, 32.021, 30.525]",425.477
886,"[40, 40, 40, 39, 37, 32.703, 32.703, 32.703, 32.021, 30.525]",425.228
887,"[41, 40, 40, 39, 37, 33.289, 32.703, 32.703, 32.021, 30.525]",425.307
888,"[42, 40, 40, 39, 37, 33.875, 32.703, 32.703, 32.021, 30.525]",425.37
889,"[43, 40, 40, 39, 37, 34.461, 32.703, 32.703, 32.021, 30.525]",425.418
890,"[44, 40, 40, 39, 37, 35.047, 32.703, 32.703, 32.021, 30.525]",425.452
891,"[45, 40, 40, 39, 37, 35.633, 32.703, 32.703, 32.021, 30.525]",425.474
892,"[46, 40, 40, 39, 37, 36.219, 32.703, 32.703, 32.021, 30.525]",425.485
893,"[47, 40, 40, 39, 37, 36.805, 32.703, 32.703, 32.021, 30.525]",425.485
894,"[48, 40, 40, 39, 37, 37.391, 32.703, 32.703, 32.021, 30.525]",425.475
895,"[49, 40, 40, 39, 37, 37.977, 32.703, 32.703, 32.021, 30.525]",425.456
896,"[41, 41, 40, 39, 37, 33.331, 33.331, 32.703, 32.021, 30.525]",425.369
897,"[42, 41, 40, 39, 37, 33.917, 33.331, 32.703, 32.021, 30.525]",425.432
898,"[43, 41, 40, 39, 37, 34.503, 33.331, 32.703, 32.021, 30.525]",425.48
899,"[44, 41, 40, 39, 37, 35.089, 33.331, 32.703, 32.021, 30.525]",425.515
900,"[45, 41, 40, 39, 37, 35.675, 33.331, 32.703, 32.021, 30.525]",425.536
901,"[46, 41, 40, 39, 37, 36.261, 33.331, 32.703, 32.021, 30.525]",425.547
902,"[47, 41, 40, 39, 37, 36.847, 33.331, 32.703, 32.021, 30.525]",425.547
903,"[48, 41, 40, 39, 37, 37.433, 33.331, 32.703, 32.021, 30.525]",425.537
904,"[49, 41, 40, 39, 37, 38.019, 33.331, 32.703, 32.021, 30.525]",425.519
905,"[42, 42, 40, 39, 37, 33.959, 33.959, 32.703, 32.021, 30.525]",425.478
906,"[43, 42, 40, 39, 37, 34.545, 33.959, 32.703, 32.021, 30.525]",425.526
907,"[44, 42, 40, 39, 37, 35.131, 33.959, 32.703, 32.021, 30.525]",425.56
908,"[45, 42, 40, 39, 37, 35.717, 33.959, 32.703, 32.021, 30.525]",425.582
909,"[46, 42, 40, 39, 37, 36.303, 33.959, 32.703, 32.021, 30.525]",425.593
910,"[47, 42, 40, 39, 37, 36.889, 33.959, 32.703, 32.021, 30.525]",425.593
911,"[48, 42, 40, 39, 37, 37.475, 33.959, 32.703, 32.021, 30.525]",425.583
912,"[49, 42, 40, 39, 37, 38.061, 33.959, 32.703, 32.021, 30.525]",425.564
913,"[43, 43, 40, 39, 37, 34.587, 34.587, 32.703, 32.021, 30.525]",425.557
914,"[44, 43, 40, 39, 37, 35.173, 34.587, 32.703, 32.021, 30.525]",425.592
915,"[45, 43, 40, 39, 37, 35.759, 34.587, 32.703, 32.021, 30.525]",425.613
916,"[46, 43, 40, 39, 37, 36.345, 34.587, 32.703, 32.021, 30.525]",425.624
917,"[47, 43, 40, 39, 37, 36.931, 34.587, 32.703, 32.021, 30.525]",425.624
918,"[48, 43, 40, 39, 37, 37.517, 34.587, 32.703, 32.021, 30.525]",425.614
919,"[49, 43, 40, 39, 37, 38.103, 34.587, 32.703, 32.021, 30.525]",425.596
920,"[44, 44, 40, 39, 37, 35.215, 35.215, 32.703, 32.021, 30.525]",425.609
921,"[45, 44, 40, 39, 37, 35.801, 35.215, 32.703, 32.021, 30.525]",425.631
922,"[46, 44, 40, 39, 37, 36.387, 35.215, 32.703, 32.021, 30.525]",425.641
923,"[47, 44, 40, 39, 37, 36.973, 35.215, 32.703, 32.021, 30.525]",425.641
924,"[48, 44, 40, 39, 37, 37.559, 35.215, 32.703, 32.021, 30.525]",425.632
925,"[49, 44, 40, 39, 37, 38.145, 35.215, 32.703, 32.021, 30.525]",425.613
926,"[45, 45, 40, 39, 37, 35.843, 35.843, 32.703, 32.021, 30.525]",425.636
927,"[46, 45, 40, 39, 37, 36.429, 35.843, 32.703, 32.021, 30.525]",425.646
928,"[47, 45, 40, 39, 37, 37.015, 35.843, 32.703, 32.021, 30.525]",425.646
929,"[48, 45, 40, 39, 37, 37.601, 35.843, 32.703, 32.021, 30.525]",425.637
930,"[49, 45, 40, 39, 37, 38.187, 35.843, 32.703, 32.021, 30.525]",425.618
931,"[46, 46, 40, 39, 37, 36.471, 36.471, 32.703, 32.021, 30.525]",425.64
932,"[47, 46, 40, 39, 37, 37.057, 36.471, 32.703, 32.021, 30.525]",425.64
933,"[48, 46, 40, 39, 37, 37.643, 36.471, 32.703, 32.021, 30.525]",425.63
934,"[49, 46, 40, 39, 37, 38.229, 36.471, 32.703, 32.021, 30.525]",425.612
935,"[47, 47, 40, 39, 37, 37.099, 37.099, 32.703, 32.021, 30.525]",425.623
936,"[48, 47, 40, 39, 37, 37.685, 37.099, 32.703, 32.021, 30.525]",425.613
937,"[49, 47, 40, 39, 37, 38.271, 37.099, 32.703, 32.021, 30.525]",425.595
938,"[48, 48, 40, 39, 37, 37.727, 37.727, 32.703, 32.021, 30.525]",425.587
939,"[49, 48, 40, 39, 37, 38.313, 37.727, 32.703, 32.021, 30.525]",425.568
940,"[49, 49, 40, 39, 37, 38.355, 38.355, 32.703, 32.021, 30.525]",425.533
941,"[41, 41, 41, 39, 37, 33.385, 33.385, 33.385, 32.021, 30.525]",425.408
942,"[42, 41, 41, 39, 37, 33.971, 33.385, 33.385, 32.021, 30.525]",425.47
943,"[43, 41, 41, 39, 37, 34.557, 33.385, 33.385, 32.021, 30.525]",425.518
944,"[44, 41, 41, 39, 37, 35.143, 33.385, 33.385, 32.021, 30.525]",425.553
945,"[45, 41, 41, 39, 37, 35.729, 33.385, 33.385, 32.021, 30.525]",425.575
946,"[46, 41, 41, 39, 37, 36.315, 33.385, 33.385, 32.021, 30.525]",425.585
947,"[47, 41, 41, 39, 37, 36.901, 33.385, 33.385, 32.021, 30.525]",425.585
948,"[48, 41, 41, 39, 37, 37.487, 33.385, 33.385, 32.021, 30.525]",425.575
949,"[49, 41, 41, 39, 37, 38.073, 33.385, 33.385, 32.021, 30.525]",425.557
950,"[42, 42, 41, 39, 37, 34.013, 34.013, 33.385, 32.021, 30.525]",425.516
951,"[43, 42, 41, 39, 37, 34.599, 34.013, 33.385, 32.021, 30.525]",425.564
952,"[44, 42, 41, 39, 37, 35.185, 34.013, 33.385, 32.021, 30.525]",425.599
953,"[45, 42, 41, 39, 37, 35.771, 34.013, 33.385, 32.021, 30.525]",425.621
954,"[46, 42, 41, 39, 37, 36.357, 34.013, 33.385, 32.021, 30.525]",425.631
955,"[47, 42, 41, 39, 37, 36.943, 34.013, 33.385, 32.021, 30.525]",425.631
956,"[48, 42, 41, 39, 37, 37.529, 34.013, 33.385, 32.021, 30.525]",425.621
957,"[49, 42, 41, 39, 37, 38.115, 34.013, 33.385, 32.021, 30.525]",425.603
958,"[43, 43, 41, 39, 37, 34.641, 34.641, 33.385, 32.021, 30.525]",425.595
959,"[44, 43, 41, 39, 37, 35.227, 34.641, 33.385, 32.021, 30.525]",425.63
960,"[45, 43, 41, 39, 37, 35.813, 34.641, 33.385, 32.021, 30.525]",425.652
961,"[46, 43, 41, 39, 37, 36.399, 34.641, 33.385, 32.021, 30.525]",425.662
962,"[47, 43, 41, 39, 37, 36.985, 34.641, 33.385, 32.021, 30.525]",425.662
963,"[48, 43, 41, 39, 37, 37.571, 34.641, 33.385, 32.021, 30.525]",425.652
964,"[49, 43, 41, 39, 37, 38.157, 34.641, 33.385, 32.021, 30.525]",425.634
965,"[44, 44, 41, 39, 37, 35.269, 35.269, 33.385, 32.021, 30.525]",425.647
966,"[45, 44, 41, 39, 37, 35.855, 35.269, 33.385, 32.021, 30.525]",425.669
967,"[46, 44, 41, 39, 37, 36.441, 35.269, 33.385, 32.021, 30.525]",425.68
968,"[47, 44, 41, 39, 37, 37.027, 35.269, 33.385, 32.021, 30.525]",425.68
969,"[48, 44, 41, 39, 37, 37.613, 35.269, 33.385, 32.021, 30.525]",425.67
970,"[49, 44, 41, 39, 37, 38.199, 35.269, 33.385, 32.021, 30.525]",425.651
971,"[45, 45, 41, 39, 37, 35.897, 35.897, 33.385, 32.021, 30.525]",425.674
972,"[46, 45, 41, 39, 37, 36.483, 35.897, 33.385, 32.021, 30.525]",425.685
973,"[47, 45, 41, 39, 37, 37.069, 35.897, 33.385, 32.021, 30.525]",425.685
974,"[48, 45, 41, 39, 37, 37.655, 35.897, 33.385, 32.021, 30.525]",425.675
975,"[49, 45, 41, 39, 37, 38.241, 35.897, 33.385, 32.021, 30.525]",425.656
976,"[46, 46, 41, 39, 37, 36.525, 36.525, 33.385, 32.021, 30.525]",425.678
977,"[47, 46, 41, 39, 37, 37.111, 36.525, 33.385, 32.021, 30.525]",425.678
978,"[48, 46, 41, 39, 37, 37.697, 36.525, 33.385, 32.021, 30.525]",425.669
979,"[49, 46, 41, 39, 37, 38.283, 36.525, 33.385, 32.021, 30.525]",425.65
980,"[47, 47, 41, 39, 37, 37.153, 37.153, 33.385, 32.021, 30.525]",425.661
981,"[48, 47, 41, 39, 37, 37.739, 37.153, 33.385, 32.021, 30.525]",425.652
982,"[49, 47, 41, 39, 37, 38.325, 37.153, 33.385, 32.021, 30.525]",425.633
983,"[48, 48, 41, 39, 37, 37.781, 37.781, 33.385, 32.021, 30.525]",425.625
984,"[49, 48, 41, 39, 37, 38.367, 37.781, 33.385, 32.021, 30.525]",425.607
985,"[49, 49, 41, 39, 37, 38.409, 38.409, 33.385, 32.021, 30.525]",425.571
986,"[42, 42, 42, 39, 37, 34.067, 34.067, 34.067, 32.021, 30.525]",425.538
987,"[43, 42, 42, 39, 37, 34.653, 34.067, 34.067, 32.021, 30.525]",425.586
988,"[44, 42, 42, 39, 37, 35.239, 34.067, 34.067, 32.021, 30.525]",425.621
989,"[45, 42, 42, 39, 37, 35.825, 34.067, 34.067, 32.021, 30.525]",425.643
990,"[46, 42, 42, 39, 37, 36.411, 34.067, 34.067, 32.021, 30.525]",425.653
991,"[47, 42, 42, 39, 37, 36.997, 34.067, 34.067, 32.021, 30.525]",425.653
992,"[48, 42, 42, 39, 37, 37.583, 34.067, 34.067, 32.021, 30.525]",425.643
993,"[49, 42, 42, 39, 37, 38.169, 34.067, 34.067, 32.021, 30.525]",425.625
994,"[43, 43, 42, 39, 37, 34.695, 34.695, 34.067, 32.021, 30.525]",425.617
995,"[44, 43, 42, 39, 37, 35.281, 34.695, 34.067, 32.021, 30.525]",425.652
996,"[45, 43, 42, 39, 37, 35.867, 34.695, 34.067, 32.021, 30.525]",425.674
997,"[46, 43, 42, 39, 37, 36.453, 34.695, 34.067, 32.021, 30.525]",425.684
998,"[47, 43, 42, 39, 37, 37.039, 34.695, 34.067, 32.021, 30.525]",425.684
999,"[48, 43, 42, 39, 37, 37.625, 34.695, 34.067, 32.021, 30.525]",425.674
1000,"[49, 43, 42, 39, 37, 38.211, 34.695, 34.067, 32.021, 30.525]",425.656
1001,"[44, 44, 42, 39, 37, 35.323, 35.323, 34.067, 32.021, 30.525]",425.669
1002,"[45, 44, 42, 39, 37, 35.909, 35.323, 34.067, 32.021, 30.525]",425.691
1003,"[46, 44, 42, 39, 37, 36.495, 35.323, 34.067, 32.021, 30.525]",425.702
1004,"[47, 44, 42, 39, 37, 37.081, 35.323, 34.067, 32.021, 30.525]",425.702
1005,"[48, 44, 42, 39, 37, 37.667, 35.323, 34.067, 32.021, 30.525]",425.692
1006,"[49, 44, 42, 39, 37, 38.253, 35.323, 34.067, 32.021, 30.525]",425.673
1007,"[45, 45, 42, 39, 37, 35.951, 35.951, 34.067, 32.021, 30.525]",425.696
1008,"[46, 45, 42, 39, 37, 36.537, 35.951, 34.067, 32.021, 30.525]",425.707
1009,"[47, 45, 42, 39, 37, 37.123, 35.951, 34.067, 32.021, 30.525]",425.707
1010,"[48, 45, 42, 39, 37, 37.709, 35.951, 34.067, 32.021, 30.525]",425.697
1011,"[49, 45, 42, 39, 37, 38.295, 35.951, 34.067, 32.021, 30.525]",425.678
1012,"[46, 46, 42, 39, 37, 36.579, 36.579, 34.067, 32.021, 30.525]",425.7
1013,"[47, 46, 42, 39, 37, 37.165, 36.579, 34.067, 32.021, 30.525]",425.7
1014,"[48, 46, 42, 39, 37, 37.751, 36.579, 34.067, 32.021, 30.525]",425.69
1015,"[49, 46, 42, 39, 37, 38.337, 36.579, 34.067, 32.021, 30.525]",425.672
1016,"[47, 47, 42, 39, 37, 37.207, 37.207, 34.067, 32.021, 30.525]",425.683
1017,"[48, 47, 42, 39, 37, 37.793, 37.207, 34.067, 32.021, 30.525]",425.674
