episode,uav_id,total_utility,uav_utility_list,select_agent
190,0,128.725,"[62.221,38.533,27.971]","[0,1,2]"
190,1,121.85,"[58.756,36.608,26.486]","[0,1,2]"
190,2,108.51,"[51.741,33.158,23.611]","[0,1,2]"
190,3,15.544,"[5.258,6.455,3.831]","[0,1,2]"
190,4,8.851,"[1.572,5.0,2.279]","[0,1,2]"
200,0,105.226,"[20.64,84.586]","[0,1]"
200,1,99.396,"[18.66,80.736]","[0,1]"
200,2,88.586,"[15.44,73.146]","[0,1]"
200,3,12.433,"[2.583,9.85]","[0,1]"
200,4,6.613,"[1.613,5.0]","[0,1]"
210,0,109.761,"[65.515,44.246]","[1,2]"
210,1,104.096,"[62.49,41.606]","[1,2]"
210,2,93.286,"[56.74,36.546]","[1,2]"
210,3,15.155,"[9.268,5.887]","[1,2]"
210,4,9.917,"[5.0,4.917]","[1,2]"
220,0,77.656,"[30.21,25.683,21.764]","[0,1,2]"
220,1,72.926,"[27.955,24.308,20.664]","[0,1,2]"
220,2,64.531,"[23.93,21.893,18.709]","[0,1,2]"
220,3,12.114,"[2.172,4.091,5.852]","[0,1,2]"
220,4,9.204,"[1.202,3.121,4.882]","[0,1,2]"
230,0,76.076,"[27.622,23.316,25.138]","[0,1,2]"
230,1,70.521,"[24.927,21.996,23.598]","[0,1,2]"
230,2,61.436,"[20.902,19.811,20.723]","[0,1,2]"
230,3,13.964,"[2.111,5.965,5.888]","[0,1,2]"
230,4,11.054,"[1.141,4.995,4.918]","[0,1,2]"
240,0,122.216,"[32.145,30.82,59.251]","[0,1,2]"
240,1,115.396,"[29.67,29.17,56.556]","[0,1,2]"
240,2,102.631,"[25.185,26.18,51.266]","[0,1,2]"
240,3,12.632,"[2.438,1.455,8.739]","[0,1,2]"
240,4,5.939,"[1.08,0.0,4.859]","[0,1,2]"
250,0,80.186,"[29.792,27.229,23.165]","[0,1,2]"
250,1,74.301,"[27.702,25.304,21.295]","[0,1,2]"
250,2,63.606,"[24.137,21.739,17.73]","[0,1,2]"
250,3,9.211,"[2.379,0.97,5.862]","[0,1,2]"
250,4,6.204,"[1.312,0.0,4.892]","[0,1,2]"
260,0,96.612,"[44.497,52.115]","[1,2]"
260,1,130.742,"[39.246,42.187,49.31]","[0,1,2]"
260,2,116.597,"[35.106,37.932,43.56]","[0,1,2]"
260,3,13.741,"[3.458,2.328,7.956]","[0,1,2]"
260,4,6.175,"[1.324,0.0,4.852]","[0,1,2]"
270,0,87.462,"[31.464,19.31,36.688]","[0,1,2]"
270,1,81.027,"[29.044,17.99,33.993]","[0,1,2]"
270,2,69.412,"[25.019,15.805,28.588]","[0,1,2]"
270,3,9.083,"[2.272,0.97,5.841]","[0,1,2]"
270,4,6.173,"[1.302,0.0,4.871]","[0,1,2]"
280,0,84.003,"[26.481,29.916,27.606]","[0,1,2]"
280,1,78.723,"[24.941,28.211,25.571]","[0,1,2]"
280,2,69.523,"[22.296,25.566,21.661]","[0,1,2]"
280,3,14.139,"[2.516,5.786,5.837]","[0,1,2]"
280,4,11.229,"[1.546,4.816,4.867]","[0,1,2]"
290,0,54.992,"[32.037,22.954]","[0,2]"
290,1,71.987,"[28.077,22.715,21.194]","[0,1,2]"
290,2,58.762,"[21.062,19.955,17.744]","[0,1,2]"
290,3,9.312,"[2.271,1.164,5.876]","[0,1,2]"
290,4,6.208,"[1.301,0.0,4.906]","[0,1,2]"
300,0,110.673,"[33.817,76.856]","[0,2]"
300,1,103.798,"[30.792,73.006]","[0,2]"
300,2,116.967,"[25.042,26.739,65.186]","[0,1,2]"
300,3,17.078,"[1.306,5.97,9.802]","[0,1,2]"
300,4,10.288,"[0.336,5.0,4.952]","[0,1,2]"
310,0,88.843,"[27.929,29.941,30.974]","[0,1,2]"
310,1,82.848,"[25.564,28.456,28.829]","[0,1,2]"
310,2,72.383,"[21.654,26.041,24.689]","[0,1,2]"
310,3,14.032,"[1.874,6.261,5.898]","[0,1,2]"
310,4,10.831,"[0.904,5.0,4.928]","[0,1,2]"
320,0,84.743,"[30.516,25.038,29.189]","[0,1,2]"
320,1,79.133,"[28.316,23.498,27.319]","[0,1,2]"
320,2,69.358,"[24.521,20.968,23.869]","[0,1,2]"
320,3,9.029,"[1.774,1.188,6.067]","[0,1,2]"
320,4,5.343,"[0.61,0.024,4.709]","[0,1,2]"
330,0,108.311,"[50.414,28.771,29.126]","[0,1,2]"
330,1,102.096,"[47.664,27.176,27.256]","[0,1,2]"
330,2,91.056,"[42.604,24.761,23.691]","[0,1,2]"
330,3,13.914,"[2.055,5.97,5.889]","[0,1,2]"
330,4,10.81,"[0.988,5.0,4.822]","[0,1,2]"
340,0,91.659,"[35.423,31.944,24.291]","[0,1,2]"
340,1,85.829,"[33.113,30.019,22.696]","[0,1,2]"
340,2,75.249,"[28.858,26.684,19.706]","[0,1,2]"
340,3,8.986,"[2.155,0.97,5.86]","[0,1,2]"
340,4,5.785,"[0.894,0.0,4.89]","[0,1,2]"
350,0,128.911,"[44.642,22.892,61.377]","[0,1,2]"
350,1,121.596,"[42.112,21.572,57.912]","[0,1,2]"
350,2,108.601,"[37.857,19.387,51.357]","[0,1,2]"
350,3,15.635,"[4.231,2.574,8.83]","[0,1,2]"
350,4,8.554,"[2.0,1.604,4.95]","[0,1,2]"
360,0,82.306,"[26.914,21.243,34.149]","[0,1,2]"
360,1,76.476,"[24.714,19.978,31.784]","[0,1,2]"
360,2,66.701,"[21.379,17.793,27.529]","[0,1,2]"
360,3,9.339,"[2.588,0.98,5.771]","[0,1,2]"
360,4,5.847,"[1.036,0.01,4.801]","[0,1,2]"
370,0,89.933,"[36.802,30.862,22.268]","[0,1,2]"
370,1,83.993,"[34.327,29.377,20.288]","[0,1,2]"
370,2,73.413,"[29.957,26.732,16.723]","[0,1,2]"
370,3,15.062,"[3.254,5.963,5.844]","[0,1,2]"
370,4,11.958,"[2.09,4.993,4.874]","[0,1,2]"
380,0,93.397,"[37.232,27.003,29.163]","[0,1,2]"
380,1,87.512,"[34.482,25.463,27.568]","[0,1,2]"
380,2,77.162,"[29.767,22.818,24.578]","[0,1,2]"
380,3,8.921,"[2.075,1.06,5.787]","[0,1,2]"
380,4,5.623,"[1.105,0.09,4.429]","[0,1,2]"
390,0,81.755,"[22.566,36.888,22.3]","[0,1,2]"
390,1,76.695,"[20.971,35.018,20.705]","[0,1,2]"
390,2,67.84,"[18.326,31.683,17.83]","[0,1,2]"
390,3,14.434,"[2.502,5.969,5.962]","[0,1,2]"
390,4,11.33,"[1.338,4.999,4.992]","[0,1,2]"
400,0,92.68,"[27.281,36.663,28.736]","[0,1,2]"
400,1,87.07,"[25.136,34.903,27.031]","[0,1,2]"
400,2,77.525,"[21.916,31.683,23.926]","[0,1,2]"
400,3,14.229,"[2.136,5.969,6.124]","[0,1,2]"
400,4,10.64,"[0.681,4.999,4.96]","[0,1,2]"
410,0,93.796,"[39.798,27.616,26.382]","[0,1,2]"
410,1,88.351,"[37.708,26.186,24.457]","[0,1,2]"
410,2,78.576,"[34.028,23.771,20.777]","[0,1,2]"
410,3,15.28,"[3.369,5.969,5.942]","[0,1,2]"
410,4,11.109,"[1.138,4.999,4.972]","[0,1,2]"
420,0,87.649,"[24.79,24.82,38.039]","[0,1,2]"
420,1,81.599,"[22.315,23.28,36.004]","[0,1,2]"
420,2,70.329,"[17.6,20.75,31.979]","[0,1,2]"
420,3,10.0,"[2.765,0.97,6.265]","[0,1,2]"
420,4,5.635,"[1.504,0.0,4.131]","[0,1,2]"
430,0,95.148,"[19.724,30.445,44.979]","[0,1,2]"
430,1,89.593,"[18.349,28.685,42.559]","[0,1,2]"
430,2,79.933,"[16.394,25.695,37.844]","[0,1,2]"
430,3,10.703,"[2.548,0.97,7.185]","[0,1,2]"
430,4,6.144,"[1.384,0.0,4.76]","[0,1,2]"
440,0,90.381,"[31.386,35.086,23.909]","[0,1,2]"
440,1,84.936,"[29.241,33.271,22.424]","[0,1,2]"
440,2,75.506,"[25.906,30.051,19.549]","[0,1,2]"
440,3,12.21,"[2.17,4.337,5.703]","[0,1,2]"
440,4,8.233,"[0.23,3.367,4.636]","[0,1,2]"
450,0,98.612,"[26.281,29.373,42.958]","[0,1,2]"
450,1,92.947,"[24.521,27.723,40.703]","[0,1,2]"
450,2,83.287,"[21.761,25.078,36.448]","[0,1,2]"
450,3,16.035,"[3.959,5.298,6.778]","[0,1,2]"
450,4,10.991,"[2.504,4.231,4.256]","[0,1,2]"
460,0,109.555,"[55.327,30.809,23.419]","[0,1,2]"
460,1,103.56,"[52.412,29.269,21.879]","[0,1,2]"
460,2,93.095,"[46.892,26.739,19.464]","[0,1,2]"
460,3,18.92,"[7.332,5.97,5.618]","[0,1,2]"
460,4,13.488,"[3.84,5.0,4.648]","[0,1,2]"
470,0,88.052,"[35.343,17.871,34.838]","[0,1,2]"
470,1,83.047,"[33.253,16.771,33.023]","[0,1,2]"
470,2,74.422,"[29.803,14.816,29.803]","[0,1,2]"
470,3,10.137,"[3.1,0.97,6.067]","[0,1,2]"
470,4,5.966,"[0.966,0.0,5.0]","[0,1,2]"
480,0,87.888,"[29.747,28.551,29.59]","[0,1,2]"
480,1,82.663,"[27.767,27.176,27.72]","[0,1,2]"
480,2,73.348,"[24.202,24.761,24.385]","[0,1,2]"
480,3,11.041,"[3.433,5.97,1.638]","[0,1,2]"
480,4,7.258,"[1.59,5.0,0.668]","[0,1,2]"
490,0,150.916,"[66.635,44.855,39.425]","[0,1,2]"
490,1,142.996,"[63.225,42.49,37.28]","[0,1,2]"
490,2,128.276,"[56.555,38.58,33.14]","[0,1,2]"
490,3,19.486,"[7.105,5.943,6.437]","[0,1,2]"
490,4,12.599,"[3.225,4.391,4.982]","[0,1,2]"
500,0,86.501,"[33.044,26.233,27.224]","[0,1,2]"
500,1,81.056,"[30.679,24.968,25.409]","[0,1,2]"
500,2,71.626,"[26.999,22.783,21.844]","[0,1,2]"
500,3,17.231,"[5.241,5.97,6.02]","[0,1,2]"
500,4,13.254,"[3.301,5.0,4.953]","[0,1,2]"
510,0,85.096,"[33.626,32.508,18.962]","[0,1,2]"
510,1,79.926,"[31.536,30.858,17.532]","[0,1,2]"
510,2,71.071,"[27.971,28.213,14.887]","[0,1,2]"
510,3,9.753,"[2.257,6.455,1.041]","[0,1,2]"
510,4,5.679,"[0.608,5.0,0.071]","[0,1,2]"
520,0,88.089,"[28.469,37.662,21.959]","[0,1,2]"
520,1,82.919,"[26.324,35.847,20.749]","[0,1,2]"
520,2,73.719,"[22.414,32.512,18.794]","[0,1,2]"
520,3,14.379,"[3.623,4.82,5.937]","[0,1,2]"
520,4,10.499,"[1.877,3.656,4.967]","[0,1,2]"
530,0,78.465,"[29.56,21.317,27.589]","[0,1,2]"
530,1,73.9,"[27.69,20.437,25.774]","[0,1,2]"
530,2,65.505,"[24.125,18.827,22.554]","[0,1,2]"
530,3,15.066,"[3.356,5.97,5.741]","[0,1,2]"
530,4,11.283,"[1.513,5.0,4.771]","[0,1,2]"
540,0,109.613,"[45.377,64.236]","[0,2]"
540,1,149.924,"[42.682,46.251,60.991]","[0,1,2]"
540,2,134.514,"[37.852,41.881,54.781]","[0,1,2]"
540,3,18.801,"[4.226,6.277,8.298]","[0,1,2]"
540,4,9.877,"[1.219,3.658,5.0]","[0,1,2]"
550,0,75.302,"[26.883,27.193,21.226]","[0,1,2]"
550,1,70.407,"[25.343,25.488,19.576]","[0,1,2]"
550,2,61.897,"[22.353,22.728,16.816]","[0,1,2]"
550,3,5.524,"[3.562,0.97,0.992]","[0,1,2]"
550,4,2.323,"[2.301,0.0,0.022]","[0,1,2]"
560,0,90.384,"[38.619,19.072,32.694]","[0,1,2]"
560,1,85.214,"[36.309,17.972,30.934]","[0,1,2]"
560,2,75.784,"[32.169,15.902,27.714]","[0,1,2]"
560,3,10.51,"[3.488,1.067,5.956]","[0,1,2]"
560,4,6.339,"[1.354,0.0,4.986]","[0,1,2]"
570,0,89.58,"[26.294,31.9,31.386]","[0,1,2]"
570,1,84.3,"[24.699,30.47,29.131]","[0,1,2]"
570,2,74.41,"[21.824,27.825,24.761]","[0,1,2]"
570,3,15.07,"[3.033,6.067,5.97]","[0,1,2]"
570,4,11.578,"[1.578,5.0,5.0]","[0,1,2]"
580,0,76.115,"[30.752,24.732,20.631]","[0,1,2]"
580,1,71.11,"[28.992,23.192,18.926]","[0,1,2]"
580,2,62.6,"[25.772,21.007,15.821]","[0,1,2]"
580,3,9.194,"[5.003,3.205,0.986]","[0,1,2]"
580,4,5.702,"[3.548,2.138,0.016]","[0,1,2]"
590,0,122.371,"[60.804,28.578,32.989]","[0,1,2]"
590,1,115.716,"[57.614,27.093,31.009]","[0,1,2]"
590,2,103.411,"[51.519,24.333,27.559]","[0,1,2]"
590,3,14.401,"[5.036,3.564,5.801]","[0,1,2]"
590,4,9.26,"[1.835,2.594,4.831]","[0,1,2]"
600,0,78.983,"[29.843,24.765,24.375]","[0,1,2]"
600,1,74.088,"[28.083,23.28,22.725]","[0,1,2]"
600,2,65.578,"[25.208,20.75,19.62]","[0,1,2]"
600,3,7.227,"[4.439,0.97,1.818]","[0,1,2]"
600,4,4.026,"[3.178,0.0,0.848]","[0,1,2]"
610,0,86.704,"[30.645,28.49,27.569]","[0,1,2]"
610,1,81.369,"[28.72,27.06,25.589]","[0,1,2]"
610,2,72.054,"[25.5,24.76,21.794]","[0,1,2]"
610,3,15.681,"[3.742,5.969,5.97]","[0,1,2]"
610,4,12.577,"[2.578,4.999,5.0]","[0,1,2]"
620,0,96.611,"[31.611,29.69,35.31]","[0,1,2]"
620,1,90.451,"[29.796,27.985,32.67]","[0,1,2]"
620,2,79.296,"[26.576,24.995,27.725]","[0,1,2]"
620,3,10.066,"[2.84,1.259,5.967]","[0,1,2]"
620,4,6.671,"[1.385,0.289,4.997]","[0,1,2]"
630,0,87.735,"[30.912,31.149,25.674]","[0,1,2]"
630,1,82.29,"[29.152,29.499,23.639]","[0,1,2]"
630,2,73.665,"[26.162,26.739,20.764]","[0,1,2]"
630,3,9.38,"[2.426,5.97,0.984]","[0,1,2]"
630,4,5.694,"[0.68,5.0,0.014]","[0,1,2]"
640,0,106.036,"[50.193,30.904,24.938]","[0,1,2]"
640,1,100.646,"[47.718,29.419,23.508]","[0,1,2]"
640,2,90.411,"[42.888,26.774,20.748]","[0,1,2]"
640,3,18.214,"[6.295,6.005,5.913]","[0,1,2]"
640,4,13.558,"[3.676,4.938,4.943]","[0,1,2]"
650,0,85.737,"[30.363,29.902,25.472]","[0,1,2]"
650,1,80.897,"[28.328,28.362,24.207]","[0,1,2]"
650,2,72.617,"[24.993,25.832,21.792]","[0,1,2]"
650,3,15.255,"[3.235,6.052,5.968]","[0,1,2]"
650,4,11.763,"[1.78,4.985,4.998]","[0,1,2]"
660,0,103.847,"[31.87,49.57,22.407]","[0,1,2]"
660,1,97.742,"[29.945,47.205,20.592]","[0,1,2]"
660,2,87.277,"[26.61,42.835,17.832]","[0,1,2]"
660,3,12.113,"[3.863,7.231,1.019]","[0,1,2]"
660,4,7.069,"[2.02,5.0,0.049]","[0,1,2]"
670,0,94.843,"[42.426,35.675,16.743]","[0,1,2]"
670,1,89.398,"[40.171,33.915,15.313]","[0,1,2]"
670,2,79.853,"[36.031,30.695,13.128]","[0,1,2]"
670,3,12.601,"[5.372,5.97,1.26]","[0,1,2]"
670,4,8.818,"[3.529,5.0,0.29]","[0,1,2]"
680,0,108.306,"[41.88,22.641,43.785]","[0,1,2]"
680,1,102.696,"[39.57,21.541,41.585]","[0,1,2]"
680,2,92.461,"[35.2,19.816,37.445]","[0,1,2]"
680,3,16.308,"[4.541,5.97,5.797]","[0,1,2]"
680,4,10.488,"[2.504,5.0,2.984]","[0,1,2]"
690,0,98.126,"[42.622,25.067,30.437]","[0,1,2]"
690,1,93.176,"[40.587,23.857,28.732]","[0,1,2]"
690,2,84.091,"[36.562,21.787,25.742]","[0,1,2]"
690,3,15.85,"[3.925,5.963,5.962]","[0,1,2]"
690,4,11.291,"[1.306,4.993,4.992]","[0,1,2]"
700,0,113.043,"[41.708,37.297,34.039]","[0,1,2]"
700,1,106.993,"[39.453,35.592,31.949]","[0,1,2]"
700,2,96.068,"[35.428,32.372,28.269]","[0,1,2]"
700,3,15.959,"[4.769,5.669,5.522]","[0,1,2]"
700,4,12.176,"[3.217,4.602,4.358]","[0,1,2]"
710,0,78.16,"[23.109,29.498,25.553]","[0,1,2]"
710,1,73.65,"[21.569,27.793,24.288]","[0,1,2]"
710,2,65.83,"[19.039,24.803,21.988]","[0,1,2]"
710,3,10.446,"[3.215,1.067,6.164]","[0,1,2]"
710,4,7.051,"[2.051,0.0,5.0]","[0,1,2]"
720,0,69.435,"[32.301,37.134]","[1,2]"
720,1,65.53,"[30.486,35.044]","[1,2]"
720,2,58.4,"[27.266,31.134]","[1,2]"
720,3,6.972,"[1.552,5.42]","[1,2]"
720,4,3.868,"[0.0,3.868]","[1,2]"
730,0,67.473,"[26.821,19.182,21.47]","[0,1,2]"
730,1,63.073,"[25.006,17.972,20.095]","[0,1,2]"
730,2,55.598,"[21.786,15.902,17.91]","[0,1,2]"
730,3,10.104,"[2.995,1.067,6.042]","[0,1,2]"
730,4,6.515,"[1.54,0.0,4.975]","[0,1,2]"
740,0,124.25,"[39.777,60.607,23.866]","[0,1,2]"
740,1,117.375,"[37.137,57.802,22.436]","[0,1,2]"
740,2,104.84,"[32.192,52.512,20.136]","[0,1,2]"
740,3,15.83,"[2.522,8.007,5.301]","[0,1,2]"
740,4,10.204,"[0.873,5.0,4.331]","[0,1,2]"
750,0,82.293,"[34.977,24.71,22.606]","[0,1,2]"
750,1,77.453,"[32.997,23.28,21.176]","[0,1,2]"
750,2,68.828,"[29.202,20.75,18.876]","[0,1,2]"
750,3,8.499,"[2.499,0.97,5.03]","[0,1,2]"
750,4,5.007,"[1.141,0.0,3.866]","[0,1,2]"
760,0,87.878,"[34.782,29.679,23.417]","[0,1,2]"
760,1,82.983,"[32.747,28.029,22.207]","[0,1,2]"
760,2,74.013,"[29.067,25.039,19.907]","[0,1,2]"
760,3,12.695,"[4.342,2.292,6.061]","[0,1,2]"
760,4,9.106,"[2.79,1.322,4.994]","[0,1,2]"
770,0,75.415,"[26.931,23.439,25.046]","[0,1,2]"
770,1,70.795,"[25.116,22.064,23.616]","[0,1,2]"
770,2,62.63,"[22.011,19.764,20.856]","[0,1,2]"
770,3,8.235,"[2.231,0.973,5.032]","[0,1,2]"
770,4,4.646,"[0.582,0.003,4.062]","[0,1,2]"
780,0,96.771,"[40.277,33.284,23.21]","[0,1,2]"
780,1,91.601,"[37.912,31.689,22.0]","[0,1,2]"
780,2,81.941,"[33.312,28.814,19.815]","[0,1,2]"
780,3,14.689,"[2.653,6.067,5.969]","[0,1,2]"
780,4,10.518,"[0.519,5.0,4.999]","[0,1,2]"
790,0,122.753,"[38.023,48.453,36.277]","[0,1,2]"
790,1,116.153,"[35.658,46.198,34.297]","[0,1,2]"
790,2,103.848,"[31.288,41.943,30.617]","[0,1,2]"
790,3,15.827,"[2.607,7.328,5.892]","[0,1,2]"
790,4,10.977,"[1.055,5.0,4.922]","[0,1,2]"
800,0,87.054,"[33.589,26.174,27.291]","[0,1,2]"
800,1,81.444,"[31.334,24.689,25.421]","[0,1,2]"
800,2,70.979,"[27.194,21.929,21.856]","[0,1,2]"
800,3,8.672,"[1.48,1.16,6.032]","[0,1,2]"
800,4,5.374,"[0.316,0.093,4.965]","[0,1,2]"
810,0,81.159,"[30.557,30.869,19.733]","[0,1,2]"
810,1,75.824,"[28.522,29.384,17.918]","[0,1,2]"
810,2,66.279,"[24.842,26.739,14.698]","[0,1,2]"
810,3,9.906,"[2.095,5.97,1.841]","[0,1,2]"
810,4,6.317,"[0.543,5.0,0.774]","[0,1,2]"
820,0,99.759,"[39.309,39.564,20.886]","[0,1,2]"
820,1,94.094,"[36.999,37.419,19.676]","[0,1,2]"
820,2,83.974,"[32.859,33.394,17.721]","[0,1,2]"
820,3,9.799,"[2.2,1.746,5.853]","[0,1,2]"
820,4,5.822,"[0.939,0.0,4.883]","[0,1,2]"
830,0,90.919,"[29.32,30.924,30.675]","[0,1,2]"
830,1,85.419,"[27.065,29.384,28.97]","[0,1,2]"
830,2,75.644,"[23.155,26.739,25.75]","[0,1,2]"
830,3,16.304,"[4.364,5.97,5.97]","[0,1,2]"
830,4,12.812,"[2.812,5.0,5.0]","[0,1,2]"
840,0,97.386,"[38.574,28.187,30.625]","[0,1,2]"
840,1,91.446,"[35.989,26.592,28.865]","[0,1,2]"
840,2,81.096,"[31.619,23.717,25.76]","[0,1,2]"
840,3,8.899,"[2.938,0.97,4.991]","[0,1,2]"
