episode,uav_id,total_utility,uav_utility_list,select_agent
890,2,74.285,"[33.569,26.823,13.892]","[0,1,2]"
890,3,9.011,"[1.921,6.054,1.035]","[0,1,2]"
890,4,5.422,"[0.369,4.987,0.065]","[0,1,2]"
900,0,97.433,"[41.936,28.449,27.048]","[0,1,2]"
900,1,91.768,"[39.186,27.074,25.508]","[0,1,2]"
900,2,81.648,"[34.241,24.659,22.748]","[0,1,2]"
900,3,14.396,"[2.593,5.868,5.935]","[0,1,2]"
900,4,10.225,"[0.362,4.898,4.965]","[0,1,2]"
910,0,90.776,"[34.302,29.536,26.938]","[0,1,2]"
910,1,85.111,"[31.882,28.051,25.178]","[0,1,2]"
910,2,75.106,"[27.742,25.406,21.958]","[0,1,2]"
910,3,13.788,"[2.028,5.626,6.134]","[0,1,2]"
910,4,10.102,"[0.476,4.656,4.97]","[0,1,2]"
920,0,102.359,"[37.678,33.745,30.936]","[0,1,2]"
920,1,95.759,"[34.818,32.095,28.846]","[0,1,2]"
920,2,83.684,"[29.873,29.105,24.706]","[0,1,2]"
920,3,9.509,"[2.181,6.358,0.97]","[0,1,2]"
920,4,5.629,"[0.629,5.0,0.0]","[0,1,2]"
930,0,89.819,"[33.682,25.242,30.894]","[0,1,2]"
930,1,84.264,"[31.427,23.977,28.859]","[0,1,2]"
930,2,74.029,"[27.172,21.792,25.064]","[0,1,2]"
930,3,13.7,"[2.447,5.968,5.284]","[0,1,2]"
930,4,9.917,"[0.604,4.998,4.314]","[0,1,2]"
940,0,93.066,"[40.595,28.242,24.229]","[0,1,2]"
940,1,86.961,"[37.79,26.592,22.579]","[0,1,2]"
940,2,76.266,"[32.73,23.717,19.819]","[0,1,2]"
940,3,9.014,"[2.071,0.97,5.973]","[0,1,2]"
940,4,5.134,"[0.228,0.0,4.906]","[0,1,2]"
950,0,89.018,"[35.082,31.058,22.878]","[0,1,2]"
950,1,83.353,"[32.442,29.573,21.338]","[0,1,2]"
950,2,73.463,"[27.842,26.928,18.693]","[0,1,2]"
950,3,11.156,"[2.128,6.159,2.869]","[0,1,2]"
950,4,7.373,"[0.479,4.995,1.899]","[0,1,2]"
960,0,101.299,"[42.823,33.261,25.215]","[0,1,2]"
960,1,95.359,"[40.128,31.666,23.565]","[0,1,2]"
960,2,84.434,"[34.838,28.791,20.805]","[0,1,2]"
960,3,14.215,"[2.201,6.044,5.97]","[0,1,2]"
960,4,10.432,"[0.455,4.977,5.0]","[0,1,2]"
970,0,92.409,"[44.192,25.035,23.181]","[0,1,2]"
970,1,86.579,"[41.277,23.715,21.586]","[0,1,2]"
970,2,76.459,"[36.447,21.185,18.826]","[0,1,2]"
970,3,12.174,"[2.821,3.383,5.969]","[0,1,2]"
970,4,8.876,"[1.463,2.413,4.999]","[0,1,2]"
980,0,82.99,"[34.943,21.542,26.505]","[0,1,2]"
980,1,77.985,"[32.853,20.277,24.855]","[0,1,2]"
980,2,69.015,"[29.173,17.977,21.865]","[0,1,2]"
980,3,9.675,"[2.47,1.164,6.041]","[0,1,2]"
980,4,6.28,"[1.112,0.194,4.974]","[0,1,2]"
990,0,95.163,"[39.633,27.344,28.187]","[0,1,2]"
990,1,89.553,"[37.103,25.804,26.647]","[0,1,2]"
990,2,79.318,"[32.618,22.929,23.772]","[0,1,2]"
990,3,9.099,"[1.959,1.171,5.97]","[0,1,2]"
990,4,5.51,"[0.504,0.007,5.0]","[0,1,2]"
1000,0,101.074,"[28.478,44.47,28.125]","[0,1,2]"
1000,1,95.574,"[26.663,42.38,26.53]","[0,1,2]"
1000,2,85.684,"[23.443,38.47,23.77]","[0,1,2]"
1000,3,14.476,"[1.685,6.822,5.968]","[0,1,2]"
1000,4,10.208,"[0.327,4.882,4.998]","[0,1,2]"
1010,0,91.348,"[33.331,31.886,26.131]","[0,1,2]"
1010,1,86.013,"[31.131,30.346,24.536]","[0,1,2]"
1010,2,76.698,"[27.336,27.586,21.776]","[0,1,2]"
1010,3,13.402,"[2.611,5.828,4.963]","[0,1,2]"
1010,4,9.813,"[1.059,4.761,3.993]","[0,1,2]"
1020,0,131.011,"[39.498,67.002,24.511]","[0,1,2]"
1020,1,123.696,"[36.968,63.922,22.806]","[0,1,2]"
1020,2,109.896,"[32.138,57.942,19.816]","[0,1,2]"
1020,3,16.93,"[2.468,8.492,5.97]","[0,1,2]"
1020,4,10.916,"[0.916,5.0,5.0]","[0,1,2]"
1030,0,89.961,"[32.04,34.434,23.488]","[0,1,2]"
1030,1,84.461,"[30.06,32.784,21.618]","[0,1,2]"
1030,2,74.686,"[26.61,29.794,18.283]","[0,1,2]"
1030,3,10.401,"[1.885,6.058,2.459]","[0,1,2]"
1030,4,6.909,"[0.43,4.991,1.489]","[0,1,2]"
1040,0,88.672,"[36.693,26.084,25.895]","[0,1,2]"
1040,1,82.292,"[33.668,24.599,24.025]","[0,1,2]"
1040,2,71.137,"[28.378,21.954,20.805]","[0,1,2]"
1040,3,9.819,"[2.664,1.185,5.97]","[0,1,2]"
1040,4,5.648,"[0.53,0.118,5.0]","[0,1,2]"
1050,0,86.216,"[29.949,29.825,26.442]","[0,1,2]"
1050,1,80.276,"[27.199,28.395,24.682]","[0,1,2]"
1050,2,69.581,"[22.484,25.75,21.347]","[0,1,2]"
1050,3,12.219,"[1.715,5.97,4.534]","[0,1,2]"
1050,4,9.018,"[0.454,5.0,3.564]","[0,1,2]"
1060,0,86.584,"[36.014,26.284,24.286]","[0,1,2]"
1060,1,81.249,"[33.759,24.799,22.691]","[0,1,2]"
1060,2,71.474,"[29.734,21.924,19.816]","[0,1,2]"
1060,3,9.167,"[2.042,1.155,5.97]","[0,1,2]"
1060,4,5.772,"[0.587,0.185,5.0]","[0,1,2]"
1070,0,94.349,"[41.013,27.345,25.991]","[0,1,2]"
1070,1,88.299,"[38.263,26.025,24.011]","[0,1,2]"
1070,2,77.719,"[33.548,23.725,20.446]","[0,1,2]"
1070,3,13.434,"[1.9,5.923,5.611]","[0,1,2]"
1070,4,10.039,"[0.445,4.953,4.641]","[0,1,2]"
1080,0,78.297,"[29.003,27.518,21.777]","[0,1,2]"
1080,1,72.852,"[26.858,25.978,20.017]","[0,1,2]"
1080,2,63.077,"[22.948,23.103,17.027]","[0,1,2]"
1080,3,5.715,"[3.168,1.345,1.203]","[0,1,2]"
1080,4,2.32,"[1.713,0.375,0.233]","[0,1,2]"
1090,0,79.991,"[23.766,31.105,25.12]","[0,1,2]"
1090,1,74.931,"[21.841,29.675,23.415]","[0,1,2]"
1090,2,65.961,"[18.736,27.03,20.195]","[0,1,2]"
1090,3,11.566,"[1.923,6.261,3.382]","[0,1,2]"
1090,4,8.074,"[0.662,5.0,2.412]","[0,1,2]"
1100,0,83.363,"[32.941,28.666,21.756]","[0,1,2]"
1100,1,78.743,"[31.126,27.291,20.326]","[0,1,2]"
1100,2,70.233,"[27.791,24.761,17.681]","[0,1,2]"
1100,3,12.871,"[2.077,5.97,4.824]","[0,1,2]"
1100,4,9.379,"[0.525,5.0,3.854]","[0,1,2]"
1110,0,81.497,"[32.733,26.973,21.791]","[0,1,2]"
1110,1,75.942,"[30.423,25.488,20.031]","[0,1,2]"
1110,2,66.052,"[26.513,22.728,16.811]","[0,1,2]"
1110,3,4.734,"[2.777,0.97,0.987]","[0,1,2]"
1110,4,1.533,"[1.516,0.0,0.017]","[0,1,2]"
1120,0,79.679,"[25.258,30.386,24.036]","[0,1,2]"
1120,1,74.839,"[23.498,28.956,22.386]","[0,1,2]"
1120,2,66.444,"[20.853,26.196,19.396]","[0,1,2]"
1120,3,13.038,"[2.062,5.427,5.55]","[0,1,2]"
1120,4,9.643,"[0.607,4.457,4.58]","[0,1,2]"
1130,0,92.697,"[37.719,33.187,21.791]","[0,1,2]"
1130,1,86.812,"[35.244,31.592,19.976]","[0,1,2]"
1130,2,76.692,"[31.219,28.717,16.756]","[0,1,2]"
1130,3,10.429,"[2.538,5.97,1.921]","[0,1,2]"
1130,4,6.937,"[0.986,5.0,0.951]","[0,1,2]"
1140,0,84.419,"[31.147,27.506,25.765]","[0,1,2]"
1140,1,79.414,"[29.057,26.186,24.17]","[0,1,2]"
1140,2,70.674,"[25.492,23.771,21.41]","[0,1,2]"
1140,3,14.301,"[2.745,5.969,5.586]","[0,1,2]"
1140,4,10.615,"[0.999,4.999,4.616]","[0,1,2]"
1150,0,96.935,"[33.021,25.911,38.004]","[0,1,2]"
1150,1,91.16,"[30.876,24.481,35.804]","[0,1,2]"
1150,2,80.58,"[27.081,21.836,31.664]","[0,1,2]"
1150,3,10.361,"[2.356,1.067,6.939]","[0,1,2]"
1150,4,6.19,"[1.192,0.0,4.999]","[0,1,2]"
1160,0,85.457,"[36.46,24.657,24.341]","[0,1,2]"
1160,1,80.067,"[34.095,23.282,22.691]","[0,1,2]"
1160,2,70.407,"[29.84,20.752,19.816]","[0,1,2]"
1160,3,9.089,"[2.148,0.972,5.97]","[0,1,2]"
1160,4,5.791,"[0.79,0.002,5.0]","[0,1,2]"
1170,0,84.803,"[27.017,32.064,25.723]","[0,1,2]"
1170,1,79.138,"[24.707,30.524,23.908]","[0,1,2]"
1170,2,69.248,"[20.797,27.649,20.803]","[0,1,2]"
1170,3,13.864,"[2.006,5.891,5.968]","[0,1,2]"
1170,4,10.76,"[0.842,4.921,4.998]","[0,1,2]"
1180,0,71.422,"[26.552,26.177,18.693]","[0,1,2]"
1180,1,66.307,"[24.407,24.967,16.933]","[0,1,2]"
1180,2,57.452,"[20.842,22.782,13.828]","[0,1,2]"
1180,3,8.991,"[2.051,5.969,0.971]","[0,1,2]"
1180,4,5.596,"[0.596,4.999,0.001]","[0,1,2]"
1190,0,87.066,"[25.376,31.973,29.717]","[0,1,2]"
1190,1,81.291,"[23.396,30.213,27.682]","[0,1,2]"
1190,2,70.941,"[20.291,26.878,23.772]","[0,1,2]"
1190,3,9.623,"[2.489,1.164,5.97]","[0,1,2]"
1190,4,6.228,"[1.228,0.0,5.0]","[0,1,2]"
1200,0,83.365,"[24.394,33.132,25.839]","[0,1,2]"
1200,1,78.14,"[22.524,31.592,24.024]","[0,1,2]"
1200,2,68.71,"[19.189,28.717,20.804]","[0,1,2]"
1200,3,13.326,"[1.387,5.97,5.969]","[0,1,2]"
1200,4,10.125,"[0.126,5.0,4.999]","[0,1,2]"
1210,0,86.18,"[36.954,24.586,24.641]","[0,1,2]"
1210,1,81.065,"[34.974,23.266,22.826]","[0,1,2]"
1210,2,71.98,"[31.524,20.851,19.606]","[0,1,2]"
1210,3,8.684,"[2.843,2.06,3.782]","[0,1,2]"
1210,4,5.095,"[1.194,1.09,2.812]","[0,1,2]"
1220,0,79.023,"[30.638,28.456,19.928]","[0,1,2]"
1220,1,73.963,"[28.603,27.136,18.223]","[0,1,2]"
1220,2,65.108,"[25.038,24.836,15.233]","[0,1,2]"
1220,3,9.724,"[2.291,6.045,1.387]","[0,1,2]"
1220,4,6.135,"[0.739,4.978,0.417]","[0,1,2]"
1230,0,99.778,"[31.26,43.555,24.962]","[0,1,2]"
1230,1,93.673,"[29.225,41.3,23.147]","[0,1,2]"
1230,2,82.288,"[25.43,37.045,19.812]","[0,1,2]"
1230,3,11.08,"[2.683,2.43,5.966]","[0,1,2]"
1230,4,6.327,"[1.325,0.005,4.996]","[0,1,2]"
1240,0,89.255,"[35.014,29.825,24.416]","[0,1,2]"
1240,1,83.26,"[32.594,28.395,22.271]","[0,1,2]"
1240,2,72.565,"[28.454,25.75,18.361]","[0,1,2]"
1240,3,10.258,"[2.74,5.97,1.548]","[0,1,2]"
1240,4,6.96,"[1.382,5.0,0.578]","[0,1,2]"
1250,0,79.468,"[25.577,28.496,25.395]","[0,1,2]"
1250,1,74.408,"[23.817,26.901,23.69]","[0,1,2]"
1250,2,65.438,"[20.942,23.911,20.585]","[0,1,2]"
1250,3,9.065,"[2.151,1.164,5.75]","[0,1,2]"
1250,4,5.379,"[0.599,0.0,4.78]","[0,1,2]"
1260,0,77.819,"[34.812,24.655,18.352]","[0,1,2]"
1260,1,72.924,"[32.942,23.28,16.702]","[0,1,2]"
1260,2,63.954,"[29.377,20.75,13.827]","[0,1,2]"
1260,3,4.614,"[2.674,0.97,0.97]","[0,1,2]"
1260,4,1.122,"[1.122,0.0,0.0]","[0,1,2]"
1270,0,94.534,"[41.499,26.974,26.06]","[0,1,2]"
1270,1,88.704,"[39.024,25.489,24.19]","[0,1,2]"
1270,2,78.124,"[34.539,22.729,20.855]","[0,1,2]"
1270,3,8.894,"[2.891,0.971,5.031]","[0,1,2]"
1270,4,5.402,"[1.339,0.001,4.061]","[0,1,2]"
1280,0,100.205,"[36.08,36.786,27.339]","[0,1,2]"
1280,1,94.21,"[33.77,35.081,25.359]","[0,1,2]"
1280,2,83.86,"[30.09,31.976,21.794]","[0,1,2]"
1280,3,14.63,"[2.398,6.262,5.97]","[0,1,2]"
1280,4,10.362,"[0.555,4.807,5.0]","[0,1,2]"
1290,0,87.492,"[29.656,31.858,25.978]","[0,1,2]"
1290,1,82.212,"[27.731,30.373,24.108]","[0,1,2]"
1290,2,73.127,"[24.626,27.728,20.773]","[0,1,2]"
1290,3,14.776,"[2.868,5.97,5.938]","[0,1,2]"
1290,4,11.284,"[1.316,5.0,4.968]","[0,1,2]"
1300,0,89.521,"[34.832,27.507,27.183]","[0,1,2]"
1300,1,84.406,"[32.907,26.187,25.313]","[0,1,2]"
1300,2,74.976,"[29.457,23.772,21.748]","[0,1,2]"
1300,3,13.658,"[1.765,5.97,5.924]","[0,1,2]"
1300,4,10.069,"[0.116,5.0,4.954]","[0,1,2]"
1310,0,81.316,"[31.258,24.825,25.233]","[0,1,2]"
1310,1,75.706,"[29.058,23.395,23.253]","[0,1,2]"
1310,2,66.161,"[25.608,20.75,19.803]","[0,1,2]"
1310,3,8.799,"[1.872,0.97,5.957]","[0,1,2]"
1310,4,5.404,"[0.417,0.0,4.987]","[0,1,2]"
1320,0,91.145,"[35.268,29.922,25.955]","[0,1,2]"
1320,1,85.59,"[32.958,28.492,24.14]","[0,1,2]"
1320,2,75.24,"[28.588,25.847,20.805]","[0,1,2]"
1320,3,13.922,"[1.885,6.067,5.97]","[0,1,2]"
1320,4,10.236,"[0.236,5.0,5.0]","[0,1,2]"
1330,0,84.855,"[29.439,28.302,27.114]","[0,1,2]"
1330,1,79.74,"[27.789,26.707,25.244]","[0,1,2]"
1330,2,70.425,"[24.914,23.717,21.794]","[0,1,2]"
1330,3,10.096,"[3.156,0.97,5.97]","[0,1,2]"
1330,4,6.604,"[1.604,0.0,5.0]","[0,1,2]"
1340,0,82.375,"[33.453,22.337,26.585]","[0,1,2]"
1340,1,77.095,"[31.143,21.072,24.88]","[0,1,2]"
1340,2,67.435,"[26.888,18.772,21.775]","[0,1,2]"
1340,3,9.084,"[2.163,0.97,5.951]","[0,1,2]"
1340,4,5.883,"[0.902,0.0,4.981]","[0,1,2]"
1350,0,77.14,"[25.073,24.838,27.229]","[0,1,2]"
1350,1,72.245,"[23.478,23.408,25.359]","[0,1,2]"
1350,2,63.62,"[21.063,20.763,21.794]","[0,1,2]"
1350,3,10.214,"[3.261,0.983,5.97]","[0,1,2]"
1350,4,6.916,"[1.903,0.013,5.0]","[0,1,2]"
1360,0,85.018,"[31.92,27.204,25.894]","[0,1,2]"
1360,1,79.628,"[29.94,25.664,24.024]","[0,1,2]"
1360,2,70.083,"[26.49,22.789,20.804]","[0,1,2]"
1360,3,9.754,"[2.754,1.031,5.969]","[0,1,2]"
1360,4,6.65,"[1.59,0.061,4.999]","[0,1,2]"
1370,0,80.111,"[27.926,26.71,25.476]","[0,1,2]"
1370,1,74.831,"[25.891,25.28,23.661]","[0,1,2]"
1370,2,65.631,"[22.671,22.635,20.326]","[0,1,2]"
1370,3,9.258,"[1.902,1.866,5.491]","[0,1,2]"
1370,4,5.766,"[0.35,0.896,4.521]","[0,1,2]"
1380,0,99.082,"[37.594,37.07,24.418]","[0,1,2]"
1380,1,93.032,"[35.064,35.31,22.658]","[0,1,2]"
1380,2,82.107,"[30.464,31.975,19.668]","[0,1,2]"
1380,3,13.866,"[1.783,6.261,5.822]","[0,1,2]"
1380,4,10.18,"[0.328,5.0,4.852]","[0,1,2]"
1390,0,83.254,"[30.182,27.742,25.33]","[0,1,2]"
1390,1,77.809,"[27.927,26.202,23.68]","[0,1,2]"
1390,2,68.264,"[24.132,23.327,20.805]","[0,1,2]"
1390,3,9.913,"[2.374,1.569,5.97]","[0,1,2]"
1390,4,6.712,"[1.113,0.599,5.0]","[0,1,2]"
1400,0,85.096,"[31.877,33.485,19.734]","[0,1,2]"
1400,1,79.981,"[29.952,31.89,18.139]","[0,1,2]"
1400,2,70.781,"[26.502,28.9,15.379]","[0,1,2]"
1400,3,10.452,"[2.766,6.153,1.533]","[0,1,2]"
1400,4,6.475,"[0.923,4.989,0.563]","[0,1,2]"
1410,0,81.35,"[29.788,25.019,26.544]","[0,1,2]"
1410,1,76.29,"[27.918,23.589,24.784]","[0,1,2]"
1410,2,67.435,"[24.698,20.944,21.794]","[0,1,2]"
1410,3,9.084,"[1.951,1.164,5.97]","[0,1,2]"
1410,4,5.204,"[0.205,0.0,5.0]","[0,1,2]"
1420,0,78.151,"[29.952,28.133,20.066]","[0,1,2]"
1420,1,73.091,"[28.027,26.593,18.471]","[0,1,2]"
1420,2,64.236,"[24.692,23.718,15.826]","[0,1,2]"
1420,3,3.907,"[1.945,0.971,0.991]","[0,1,2]"
1420,4,0.512,"[0.49,0.001,0.021]","[0,1,2]"
1430,0,81.09,"[30.763,25.112,25.215]","[0,1,2]"
1430,1,75.975,"[28.673,23.737,23.565]","[0,1,2]"
1430,2,67.58,"[25.453,21.322,20.805]","[0,1,2]"
1430,3,10.218,"[1.717,2.531,5.97]","[0,1,2]"
1430,4,6.629,"[0.165,1.464,5.0]","[0,1,2]"
1440,0,86.831,"[35.165,28.147,23.519]","[0,1,2]"
1440,1,81.166,"[33.02,26.607,21.539]","[0,1,2]"
1440,2,70.931,"[29.225,23.732,17.974]","[0,1,2]"
1440,3,4.668,"[2.522,0.985,1.161]","[0,1,2]"
1440,4,1.273,"[1.067,0.015,0.191]","[0,1,2]"
1450,0,82.063,"[29.343,27.397,25.324]","[0,1,2]"
1450,1,77.278,"[27.803,25.912,23.564]","[0,1,2]"
1450,2,69.228,"[25.273,23.152,20.804]","[0,1,2]"
1450,3,11.866,"[4.504,1.394,5.969]","[0,1,2]"
1450,4,8.568,"[3.243,0.327,4.999]","[0,1,2]"
1460,0,82.765,"[27.165,29.652,25.948]","[0,1,2]"
1460,1,77.76,"[25.46,28.277,24.023]","[0,1,2]"
1460,2,69.48,"[22.93,25.747,20.803]","[0,1,2]"
1460,3,15.085,"[3.15,5.967,5.968]","[0,1,2]"
1460,4,11.69,"[1.695,4.997,4.998]","[0,1,2]"
1470,0,75.105,"[27.446,22.507,25.152]","[0,1,2]"
1470,1,70.045,"[25.411,21.187,23.447]","[0,1,2]"
1470,2,61.535,"[22.191,18.772,20.572]","[0,1,2]"
1470,3,8.129,"[1.422,0.97,5.737]","[0,1,2]"
1470,4,4.928,"[0.161,0.0,4.767]","[0,1,2]"
1480,0,72.348,"[26.849,27.202,18.297]","[0,1,2]"
1480,1,67.288,"[24.924,25.662,16.702]","[0,1,2]"
1480,2,58.318,"[21.704,22.787,13.827]","[0,1,2]"
1480,3,4.912,"[2.913,1.029,0.97]","[0,1,2]"
1480,4,1.614,"[1.555,0.059,0.0]","[0,1,2]"
1490,0,77.459,"[24.282,28.496,24.681]","[0,1,2]"
1490,1,72.509,"[22.412,27.176,22.921]","[0,1,2]"
1490,2,64.459,"[19.882,24.761,19.816]","[0,1,2]"
1490,3,15.009,"[3.069,5.97,5.97]","[0,1,2]"
1490,4,11.614,"[1.614,5.0,5.0]","[0,1,2]"
1500,0,87.979,"[28.419,35.547,24.013]","[0,1,2]"
1500,1,82.754,"[26.439,33.897,22.418]","[0,1,2]"
1500,2,73.324,"[22.989,30.792,19.543]","[0,1,2]"
1500,3,15.962,"[4.198,6.067,5.697]","[0,1,2]"
1500,4,12.664,"[2.937,5.0,4.727]","[0,1,2]"
1510,0,79.921,"[30.593,29.468,19.86]","[0,1,2]"
1510,1,74.586,"[28.668,27.818,18.1]","[0,1,2]"
1510,2,65.041,"[25.448,24.713,14.88]","[0,1,2]"
1510,3,4.712,"[2.701,0.977,1.034]","[0,1,2]"
1510,4,1.511,"[1.44,0.007,0.064]","[0,1,2]"
1520,0,82.415,"[25.89,31.081,25.444]","[0,1,2]"
1520,1,77.245,"[23.855,29.596,23.794]","[0,1,2]"
1520,2,67.93,"[20.29,26.836,20.804]","[0,1,2]"
1520,3,13.535,"[1.499,6.067,5.969]","[0,1,2]"
1520,4,10.237,"[0.238,5.0,4.999]","[0,1,2]"
1530,0,98.079,"[42.147,27.947,27.985]","[0,1,2]"
1530,1,92.029,"[39.397,26.517,26.115]","[0,1,2]"
1530,2,80.874,"[34.222,23.872,22.78]","[0,1,2]"
1530,3,11.644,"[1.585,4.092,5.967]","[0,1,2]"
1530,4,8.443,"[0.421,3.025,4.997]","[0,1,2]"
1540,0,81.302,"[25.119,31.842,24.341]","[0,1,2]"
1540,1,75.967,"[22.974,30.302,22.691]","[0,1,2]"
1540,2,66.422,"[19.179,27.427,19.816]","[0,1,2]"
1540,3,14.005,"[2.366,5.669,5.97]","[0,1,2]"
1540,4,10.901,"[1.202,4.699,5.0]","[0,1,2]"
1550,0,83.254,"[29.931,27.028,26.295]","[0,1,2]"
1550,1,77.754,"[27.896,25.488,24.37]","[0,1,2]"
1550,2,67.979,"[24.446,22.728,20.805]","[0,1,2]"
1550,3,8.639,"[1.699,0.97,5.97]","[0,1,2]"
1550,4,5.147,"[0.147,0.0,5.0]","[0,1,2]"
1560,0,82.055,"[29.587,28.407,24.061]","[0,1,2]"
1560,1,76.995,"[27.552,26.867,22.576]","[0,1,2]"
1560,2,68.14,"[24.217,24.107,19.816]","[0,1,2]"
1560,3,9.789,"[2.459,1.36,5.97]","[0,1,2]"
1560,4,6.297,"[1.295,0.002,5.0]","[0,1,2]"
1570,0,76.133,"[25.682,28.61,21.841]","[0,1,2]"
1570,1,71.183,"[23.867,27.29,20.026]","[0,1,2]"
1570,2,62.328,"[20.762,24.76,16.806]","[0,1,2]"
1570,3,8.922,"[1.971,5.969,0.982]","[0,1,2]"
1570,4,5.527,"[0.516,4.999,0.012]","[0,1,2]"
1580,0,85.323,"[29.715,32.197,23.412]","[0,1,2]"
1580,1,80.208,"[27.735,30.657,21.817]","[0,1,2]"
1580,2,71.008,"[24.4,27.782,18.827]","[0,1,2]"
1580,3,13.646,"[1.653,6.024,5.97]","[0,1,2]"
1580,4,10.251,"[0.295,4.957,5.0]","[0,1,2]"
1590,0,92.319,"[24.319,42.215,25.785]","[0,1,2]"
1590,1,86.874,"[22.559,40.29,24.025]","[0,1,2]"
1590,2,76.984,"[19.569,36.61,20.805]","[0,1,2]"
1590,3,14.677,"[1.767,6.94,5.97]","[0,1,2]"
1590,4,10.7,"[0.7,5.0,5.0]","[0,1,2]"
1600,0,98.082,"[32.822,45.813,19.447]","[0,1,2]"
1600,1,91.922,"[30.567,43.503,17.852]","[0,1,2]"
1600,2,80.537,"[26.657,39.018,14.862]","[0,1,2]"
1600,3,6.362,"[2.921,2.425,1.016]","[0,1,2]"
1600,4,1.706,"[1.66,0.0,0.046]","[0,1,2]"
1610,0,92.001,"[30.457,27.338,34.206]","[0,1,2]"
1610,1,86.171,"[28.312,25.853,32.006]","[0,1,2]"
1610,2,75.706,"[24.632,23.093,27.981]","[0,1,2]"
1610,3,10.432,"[1.885,2.324,6.223]","[0,1,2]"
1610,4,6.552,"[0.721,1.257,4.574]","[0,1,2]"
1620,0,89.625,"[33.436,28.302,27.887]","[0,1,2]"
1620,1,84.07,"[31.291,26.707,26.072]","[0,1,2]"
1620,2,73.95,"[27.496,23.717,22.737]","[0,1,2]"
1620,3,8.676,"[1.782,0.97,5.924]","[0,1,2]"
1620,4,5.281,"[0.327,0.0,4.954]","[0,1,2]"
1630,0,92.595,"[37.349,29.461,25.785]","[0,1,2]"
1630,1,86.435,"[34.599,27.811,24.025]","[0,1,2]"
1630,2,75.05,"[29.539,24.706,20.805]","[0,1,2]"
1630,3,8.787,"[1.847,0.97,5.97]","[0,1,2]"
1630,4,5.392,"[0.392,0.0,5.0]","[0,1,2]"
1640,0,81.479,"[31.315,28.343,21.821]","[0,1,2]"
1640,1,75.869,"[29.17,26.748,19.951]","[0,1,2]"
1640,2,66.209,"[25.605,23.758,16.846]","[0,1,2]"
1640,3,5.88,"[1.869,1.011,3.0]","[0,1,2]"
1640,4,2.679,"[0.608,0.041,2.03]","[0,1,2]"
1650,0,93.906,"[43.646,29.637,20.623]","[0,1,2]"
1650,1,88.296,"[41.116,28.262,18.918]","[0,1,2]"
1650,2,78.176,"[36.631,25.732,15.813]","[0,1,2]"
1650,3,8.946,"[2.016,5.952,0.978]","[0,1,2]"
1650,4,5.454,"[0.464,4.982,0.008]","[0,1,2]"
1660,0,91.236,"[32.259,34.555,24.422]","[0,1,2]"
1660,1,85.296,"[29.729,32.905,22.662]","[0,1,2]"
1660,2,74.486,"[25.129,29.8,19.557]","[0,1,2]"
1660,3,13.168,"[1.393,6.064,5.711]","[0,1,2]"
1660,4,9.967,"[0.229,4.997,4.741]","[0,1,2]"
1670,0,91.103,"[32.738,32.133,26.232]","[0,1,2]"
1670,1,85.713,"[30.483,30.593,24.637]","[0,1,2]"
1670,2,76.053,"[26.458,27.833,21.762]","[0,1,2]"
1670,3,13.746,"[1.733,6.075,5.938]","[0,1,2]"
1670,4,10.448,"[0.569,4.911,4.968]","[0,1,2]"
1680,0,95.237,"[38.334,33.382,23.521]","[0,1,2]"
1680,1,89.352,"[35.914,31.567,21.871]","[0,1,2]"
1680,2,78.312,"[31.429,28.117,18.766]","[0,1,2]"
1680,3,9.082,"[1.759,1.414,5.909]","[0,1,2]"
1680,4,5.202,"[0.207,0.056,4.939]","[0,1,2]"
1690,0,89.41,"[22.636,38.617,28.156]","[0,1,2]"
1690,1,84.13,"[21.096,36.802,26.231]","[0,1,2]"
1690,2,74.585,"[18.451,33.352,22.781]","[0,1,2]"
1690,3,14.256,"[1.638,6.649,5.968]","[0,1,2]"
1690,4,10.376,"[0.377,5.0,4.998]","[0,1,2]"
1700,0,80.559,"[31.773,29.291,19.495]","[0,1,2]"
1700,1,75.499,"[29.958,27.696,17.845]","[0,1,2]"
1700,2,66.529,"[26.853,24.706,14.97]","[0,1,2]"
1700,3,6.2,"[4.106,0.97,1.124]","[0,1,2]"
1700,4,2.999,"[2.845,0.0,0.154]","[0,1,2]"
1710,0,90.921,"[29.942,31.177,29.802]","[0,1,2]"
1710,1,85.421,"[27.907,29.692,27.822]","[0,1,2]"
1710,2,75.531,"[24.342,26.932,24.257]","[0,1,2]"
1710,3,15.202,"[2.584,6.163,6.455]","[0,1,2]"
1710,4,11.322,"[1.323,4.999,5.0]","[0,1,2]"
1720,0,85.65,"[31.628,33.397,20.624]","[0,1,2]"
1720,1,80.48,"[29.758,31.802,18.919]","[0,1,2]"
1720,2,71.165,"[26.538,28.812,15.814]","[0,1,2]"
1720,3,8.858,"[1.813,6.065,0.979]","[0,1,2]"
1720,4,5.657,"[0.649,4.998,0.009]","[0,1,2]"
1730,0,90.331,"[31.542,33.229,25.56]","[0,1,2]"
1730,1,85.161,"[29.727,31.689,23.745]","[0,1,2]"
1730,2,75.616,"[26.507,28.814,20.295]","[0,1,2]"
1730,3,11.331,"[2.771,6.067,2.493]","[0,1,2]"
1730,4,7.839,"[1.316,5.0,1.523]","[0,1,2]"
1740,0,62.578,"[36.739,25.839]","[0,2]"
1740,1,88.586,"[34.154,30.408,24.024]","[0,1,2]"
